PROJECT 명,차종명,MAKER,지역,비고
NQ5sH,스포티지 HEV/PHEV,KMC,슬로박,
NU,all new ix35,HMC,중국,
NU2,중국전략 SUV,HMC,중국,
NX4,투싼,HMC,국내,
NX4a,투싼 미국,HMC,미국,
NX4aT,SANTACRUZ(OPEN BED),HMC,미국,
NX4c,투싼 중국,HMC,중국,
NX4cH,투싼 HEV 중국,HMC,중국,
NX4e,투싼 체코,HMC,체코,
NX4eH,투싼 체코HEV/PHEV,HMC,체코,
NX4i,투싼 인도,HMC,인도,
NX4kH,투싼 HEV,HMC,국내,
NX4r,투싼 러시아,HMC,러시아,
OE,C-SUV전기차전용,HMC,중국,
ON,텔루라이드,KMC,미국,
OS,코나,HMC,국내,
OSc,코나 중국,HMC,중국,
OScEV,코나 중국 EV,HMC,중국,
OSE,코나 HEV,HMC,국내,
OSeEV,코나 체코 전기차,HMC,체코,
OSEV,코나 전기차,HMC,국내,
OSiEV,코나 인도 전기차,HMC,인도,
OSN,코나 고성능차,HMC,국내,
OV1,C-SUV EV,KMC,중국,
OV1k,C-SUV EV,KMC,국내,
PD,i30,HMC,국내,
PDe,i30,HMC,체코,
PDeN,I30 N,HMC,체코,
PF,K4,KMC,중국,
PSEV,쏘울 전기차,KMC,국내,
PU,봉고-3,KMC,국내,
PUEV,PU 전기차,KMC,국내,
QE,QE (중국전용),KMC,중국,
QL,뉴스포티지,KMC,국내,
QLc,뉴스포티지 중국,KMC,중국,
QLs,뉴스포티지 슬로박,KMC,슬로박,
QM,쏘렌토,KMC,중국,
QX,베뉴(VENUE),HMC,국내,
QX2,소형 SUV,HMC,인도,
QXi,VENUE-SUV,HMC,인도,
QY,쏘넷(SONET),KMC,인도,
QYc,쏘넷(SONET) 중국,KMC,중국,
RG3,G80,HMC,국내,
RG3kV,G80 EV,HMC,국내,
RJ,K9,KMC,국내,
RN2,G70(EV)후속,HMC,국내,
RS4,G90,HMC,국내,
SC,프라이드,KMC,멕시코,
SG2,니로 후속,KMC,국내,
SG2kV,니로 EV,KMC,국내,
SK3,쏘울,KMC,국내,
SK3kV,SK3 EV,KMC,국내,
SK4,쏘울 후속,KMC,국내,
SK4kV,쏘울 후속 EV,KMC,국내,
SP2,셀토스,KMC,국내,
SP2c,SP2 중국병행(Kc)후속,KMC,중국,
SP2i,셀토스 인도,KMC,인도,
SP3,셀토스 후속,KMC,국내,
SP3i,셀토스 후속,KMC,인도,
SQ,라페스타,HMC,중국,
SQEV,라페스타 전기차,HMC,중국,
SU2,크레타(Creta),HMC,중국,
SU2b,IX25 브라질,HMC,브라질,
SU2i,크레타그랜드(Creta Grand),HMC,인도,
SU2id,크레타 인도네시아,HMC,인도네시아,
SU2iV,IX25 인도 EV,HMC,인도,
SU2r,IX25(러시아),HMC,러시아,
SV1,B-CUV EV,KMC,국내,
SV1c,B-CUV EV 중국,KMC,중국,
SV1m,B-CUV EV 멕시코,KMC,멕시코,
SW1,싱가로프 PBV전기차,KMC,싱가폴,
SW1k,PBV 전기차,KMC,국내,
SX2,코나 후속,HMC,국내,
SX2hV,SX2 체코 전기자,HMC,체코,
SX2idV,코나 인도네시아 EV,HMC,인도네시아,
SX2kH,코나 HEV,HMC,국내,
SX2kN,코나후속 고성능차,HMC,국내,
SX2kV,코나EV 후속,HMC,국내,
TAM,레이,KMC,국내,
TAMEV,레이 전기차,KMC,국내,
TDc,포르테 중국,KMC,중국,
